product_code,brand_name,original_language,original_name,product_name_en,product_name_zh,product_type,country_of_origin,net_quantity,quantity_unit,sku,barcode,skin_types,skin_concerns,key_ingredients,ingredients_inci,claims,description_en,description_zh,how_to_use_en,how_to_use_zh,warnings_en,warnings_zh,image_urls,status,compliance_status,canadian_label_status,cosmetic_notification_status,compliance_notes,suggested_price,suggested_price_currency,suggested_price_status,suggested_price_note
MASK-MEDIHEAL-6E878F26,Mediheal,en,MEDIHEAL Retinol Collagen Eye Ampoule Patch 60pcs,MEDIHEAL Retinol Collagen Eye Ampoule Patch 60pcs,Mediheal  Retinol Collagen Eye Ampoule Patch 60pcs,Eye Mask,KR,60,pc,MASK-MEDIHEAL-RETINOL-COLLAGEN-NA-60PC,8809936740200,,,,,,"Skin Concerns:
Fine lines, wrinkles, loss of elasticity around the eyes

Key Benefits:
Reduces signs of aging, firms and hydrates the eye area.",,"Apply the patches under the eyes on clean, dry skin. Leave on for 20-30 minutes, then gently remove. Pat any remaining serum into the skin until fully absorbed. Use as needed, recommended 2-3 times a week.",,,,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,22.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-MEDIHEAL-3C3944C6,Mediheal,en,MEDIHEAL Vita Collagen Eye Ampoule Patch 60pcs,MEDIHEAL Vita Collagen Eye Ampoule Patch 60pcs,Mediheal  Vita Collagen Eye Ampoule Patch 60pcs,Eye Mask,KR,60,pc,MASK-MEDIHEAL-VITA-COLLAGEN-NA-60PC,8809936741436,,,,,,"Skin Concerns:
Fine lines, wrinkles, loss of elasticity around the eyes

Key Benefits:
Reduces signs of aging, firms and hydrates the eye area.",,"Attach the patch on areas of concern due to blemishes and low elasticity for 20–30 minutes. Then, remove the patch and lightly pat the ampoule for absorption.",,,,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,22.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-ABIB-E9524FB0,Abib,en,Abib Collagen Eye Patch Jericho Rose Jelly 60pcs,Abib Collagen Eye Patch Jericho Rose Jelly 60pcs,Abib  Collagen 眼膜 Jericho Rose Jelly 60pcs,Eye Mask,KR,60,pc,MASK-ABIB-COLLAGEN-JERICHO-ROSE-60PC,8809864768123,,,,,,"Skin Concerns:
Reduces fine lines and wrinkles.
Hydrates and refreshes tired under-eye skin.

Key Benefits: These eye patches deliver intense hydration and firming benefits, reducing signs of aging and leaving the under-eye area looking refreshed and youthful.",,"Apply patches to clean, dry under-eye area and leave on for 20-30 minutes. Remove and gently pat in any remaining essence.
Caution for use

1. Stop using the product if redness, swelling, irritation, or rash occurs when skin is exposed to direct sunlight; if symptoms persist, consult a doctor.
2. Do not use on wounds or other infected areas.
3. Handling and storage

A) Keep out of reach of children. B) Keep out of direct sunlight.",,,,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,25.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-KAO-11F34459,Kao,en,Kao New Steam Eye Mask 12pcs,Kao New Steam Eye Mask 12pcs,Kao  New Steam 眼膜 12pcs,Eye Mask,JP,12,pc,MASK-KAO-STEAM-NA-12PC,4901301460547,,,,,,"The Kao New Steam Eye Mask gently envelopes your eyes and the surrounding area with a generous shower of warm steam. This comforting steam bath helps to release the tension accumulated throughout the day, providing a deeply relaxing experience. Each mask heats up upon opening, making it convenient and ready to use. The soft and fluffy material fits closely to your eye area, whether you are sitting up or lying down. These masks are perfect for use before bedtime, during travel, or while relaxing at home.

Key Benefits:

Provides a soothing steam bath for the eyes at approximately 40°C

Helps to relieve and relax strained eyes

Easy to use, self-heating upon opening

Comfortable fit, suitable for use while sitting or lying down

Comes in various scents for different relaxation needs

Available Scents:

Lavender

Chamomile

Citrus

Rose

Unscented",,"Remove the eye mask from its pouch

Place the white side of the mask on your eyes, fitting the notch over your nose

Tear along the perforation to set the ear straps in place

Close your eyes and enjoy the warm steam for 10-20 minutes",,,,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,17.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-GOODAL-E4D52458,Goodal,en,Goodal Green Tangerine Vita C Dark Spot Care Eye Patch Alpha 60pcs,Goodal Green Tangerine Vita C Dark Spot Care Eye Patch Alpha 60pcs,Goodal  Green Tangerine Vita C Dark Spot Care 眼膜 Alpha 60pcs,Eye Mask,KR,60,pc,MASK-GOODAL-TANGERINE-VITA-GREEN-60PC,8800290363975,,,,,,"Key Features :
Hydrogel design ensures a snug fit and allows deep serum penetration
Infused with Green Tangerine Vita C Dark Spot Serum essence
Helps diminish dark circles, reduce puffiness, smooth fine lines, and deliver hydration and radiance
Each application recommended for 20–30 minutes
Skin irritation tested",,"Remove the patch from the jar and place it around the eye area on clean, dry skin.
Leave it on for 20–30 minutes.
After removal, gently pat the remaining serum into the skin.
Do not rinse off.
Do not reuse the patch.",,"For external use only.
Perform a patch test before first use; discontinue if irritation occurs.
Keep out of reach of children.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,19.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-BEAUTY-OF-JOSEON-9998FA9E,Beauty of Joseon,en,Beauty Of Joseon Revive Under Eye Patch Ginseng + Retinal 60pcs,Beauty Of Joseon Revive Under Eye Patch Ginseng + Retinal 60pcs,Beauty of Joseon    Revive 眼膜 Ginseng + Retinal 60pcs,Eye Mask,KR,60,pc,MASK-BEAUTY-OF-JOSEON-REVIVE-GINSENG-NA-60PC,8809968132523,,,,,,"Skin Concerns:Dullness and dark circles,

Appearance of fine lines and ""crow's feet"",

Loss of visible elasticity,

Puffy or tired-looking eyes,

Dehydration and rough texture
Key Benefits:
Synergistic Revitalization: Harnesses Ginseng and Retinal to improve the visible texture and bounce of the skin.
Targeted Brightening: Helps even out skin tone and reduce the look of shadows under the eyes.
Instant Cooling & Soothing: The hydrogel material adheres perfectly, providing a refreshing sensation that helps minimize the look of morning puffiness.
Deep Moisture Infusion: Delivers concentrated essence to plump the skin's surface, softening the look of dry lines.
Stable Delivery: Formulated to be gentle yet effective for the sensitive eye area, promoting a smoother, more radiant appearance.",,"After cleansing and toning, use the spatula to gently lift and separate two patches.
Apply the patches onto the under-eye area, ensuring they adhere flat against the skin.
Leave on for 15 to 20 minutes.
Remove the patches and gently pat the remaining essence into the skin. Do not rinse. As this product contains Retinal, it is recommended for evening use; if used during the day, always follow with SPF.",,"For external use only. Patch testing is always recommended. Discontinue use immediately if you experience any discomfort or irritation. Avoid contact with eyes. If contact occurs, rinse thoroughly with water. Keep out of reach of children.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,25.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-ABIB-D2E6C8D1,Abib,en,Abib PDRN Retinal Eye Patch Glow Jelly (60ea) 84g,Abib PDRN Retinal Eye Patch Glow Jelly (60ea) 84g,Abib  PDRN Retinal 眼膜 Glow Jelly (60ea) 84g,Eye Mask,KR,60,pc,MASK-ABIB-PDRN-RETINAL-NA-60PC,8800280692283,,,,,,"Skin Concerns:	•	Dullness and lack of radiance around the eyes

•	Fine lines and loss of firmness

•	Tired, puffy under-eye area
Key Benefits:
Brightening Effect: With niacinamide and supporting ingredients, these patches help enhance skin radiance and improve the look of dull or uneven tone around the eyes.
Refreshing & De-puffing: Caffeine provides a cooling and energizing touch that helps refresh the under-eye area, giving it a more awake appearance.
Youthful Look: Retinal and PDRN contribute to a smoother, revitalized look by improving the overall appearance of fine lines.
Hydration & Firmness: Collagen, sodium hyaluronate, and the jelly-like texture deliver a burst of moisture that leaves skin looking plump and supple.
Soothing Comfort: Enriched with Centella Asiatica and botanical extracts, the patches help calm and comfort delicate skin for a relaxed finish.",,"After cleansing and toning, use the spatula to apply patches under the eyes.
Leave on for 10–20 minutes.
Remove and gently pat in remaining essence.
Can also be applied to smile lines or forehead for extra care.",,"For external use only. Patch testing is always recommended. Discontinue use immediately if you experience any discomfort or irritation. Avoid contact with eyes. If contact occurs, rinse thoroughly with water. Keep out of reach of children.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,25.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-COSRX-3685B592,COSRX,en,COSRX Advanced Snail Hydrogel Eye Patch 90g,COSRX Advanced Snail Hydrogel Eye Patch 90g,COSRX  Advanced Snail Hydrogel 眼膜 90g,Eye Mask,KR,90,g,MASK-COSRX-SNAIL-NA-90G,8809598452305,,,,,,"Skin Concerns：

1.Appearance of Puffiness: Suitable for those looking to diminish the appearance of puffiness, particularly around the eyes, for a more refreshed look.

2.Uneven Skin Tone: Helps those who wish to improve the look of uneven skin tone, contributing to a more even and vibrant skin appearance.

3.Texture Concerns: Ideal for individuals who want to enhance the feel and appearance of their skin's texture, making it feel smoother and more refined.
Key Benefits：
Hydrating and Nourishing: Enriched with snail secretion filtrate, this patch delivers hydration and nourishment to the skin, promoting a plumper look.
Depuffing: Ideal for reducing the appearance of puffiness around the eyes, giving a refreshed look.
Brightening Influence: Contains niacinamide, known for its properties that can contribute to a more even skin tone and improved skin texture, providing a refreshed appearance.",,"Apply the patch to clean, dry skin around the eyes, mouth, or any area of concern.
Leave on for 5-20 minutes, making it a convenient addition to your daily routine, even when multi-tasking.
Remove and gently pat any remaining essence into the skin for full absorption.
Skincare Tip:

For an extra soothing effect, refrigerate the patches before use to help combat morning puffiness and dryness.

For external use only: Do not apply to eyes or broken skin. If contact occurs, rinse thoroughly with water.

Discontinue use if irritation or redness occurs: If irritation persists, consult a healthcare professional.

Keep out of reach of children: Store in a cool, dry place away from direct sunlight.",,,,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,31.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-MEDIHEAL-0A68A553,Mediheal,en,MEDIHEAL N.M.F Aquaring Gel Eye Patch 5pcs,MEDIHEAL N.M.F Aquaring Gel Eye Patch 5pcs,Mediheal  N.M.F Aquaring Gel 眼膜 5pcs,Eye Mask,KR,5,pc,MASK-MEDIHEAL-N-M-NA-5PC,8809261552905,,,,,,"Skin Concerns:
Dryness, puffiness, dark circles, fine lines

Key Benefits:
Deeply hydrates, reduces puffiness and dark circles, and improves skin elasticity.",,"After cleansing and toning, apply the mask onto the face, leaving it on for 10-20 minutes. Gently pat remaining essence for absorption.",,,,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,10.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-KSECRET-C182A100,KSECRET,en,KSECRET Eye Gel Patches Instant Relief 60pcs (CAFFEINE),KSECRET Eye Gel Patches Instant Relief 60pcs (CAFFEINE),KSECRET  Eye Gel Patches Instant Relief 60pcs (CAFFEINE),Eye Mask,KR,60,pc,MASK-KSECRET-PATCHES-INSTANT-NA-60PC,8809695240188,,,,,,"Skin Concerns:
Dullness
Tired appearance
Lack of hydration in the eye area

Key Benefits:
Refreshes the under-eye area with a cooling hydrogel texture
Supports a more awake and revitalized look
Enhances skin’s natural glow with gentle hydration",,"Apply to clean, dry skin after toner.
Place patches under the eyes or on areas needing extra care.
Leave on for 20–30 minutes, then gently pat in any remaining essence.
Use daily or as needed.",,"Discontinue use if irritation occurs. If redness, itching, burning, or swelling develops, stop using the product and consult a doctor.
Keep out of reach of children.
For Sensitive Skin: Perform a patch test on a small area of your inner arm before using this product on your entire face.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,24.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
